Row_ID,Order_ID,Order_Date,Order_Year,Order_Month,Order_Month_Name,Ship_Date,Delivery_Days,Customer_ID,Customer_Name,Segment,Region,State,City,Category,Sub_Category,Sales
1,CA-2017-152156,08-11-2017,2017,11,November,11-11-2017,3,CG-12520,Claire Gute,Consumer,South,Kentucky,Henderson,Furniture,Bookcases,261.96
10,CA-2015-115812,09-06-2015,2015,6,June,14-06-2015,5,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,Office Supplies,Appliances,114.9
100,CA-2017-158568,29-08-2017,2017,8,August,02-09-2017,4,RB-19465,Rick Bensley,Home Office,Central,Illinois,Chicago,Office Supplies,Paper,64.62
1000,CA-2016-162537,28-10-2016,2016,10,October,03-11-2016,6,RD-19585,Rob Dowd,Consumer,South,Kentucky,Henderson,Furniture,Furnishings,33.11
1001,CA-2017-155488,13-11-2017,2017,11,November,17-11-2017,4,FM-14290,Frank Merwin,Home Office,West,Washington,Vancouver,Office Supplies,Art,44.02
1002,CA-2016-124891,31-07-2016,2016,7,July,31-07-2016,0,RH-19495,Rick Hansen,Consumer,East,New York,New York City,Technology,Accessories,2309.65
1003,CA-2016-124891,31-07-2016,2016,7,July,31-07-2016,0,RH-19495,Rick Hansen,Consumer,East,New York,New York City,Furniture,Tables,1090.78
1004,CA-2016-124891,31-07-2016,2016,7,July,31-07-2016,0,RH-19495,Rick Hansen,Consumer,East,New York,New York City,Office Supplies,Paper,19.44
1005,CA-2016-126445,27-08-2016,2016,8,August,31-08-2016,4,RA-19945,Ryan Akin,Consumer,West,California,Murrieta,Office Supplies,Storage,484.65
1006,CA-2016-111199,13-11-2016,2016,11,November,17-11-2016,4,JK-15730,Joe Kamberova,Consumer,South,North Carolina,Jacksonville,Office Supplies,Paper,115.3
1007,CA-2016-105312,06-11-2016,2016,11,November,09-11-2016,3,MT-17815,Meg Tillman,Consumer,West,Arizona,Scottsdale,Office Supplies,Envelopes,7.08
1008,CA-2016-105312,06-11-2016,2016,11,November,09-11-2016,3,MT-17815,Meg Tillman,Consumer,West,Arizona,Scottsdale,Office Supplies,Binders,4.4
1009,US-2018-106705,26-12-2018,2018,12,December,01-01-2019,6,PO-18850,Patrick O'Brill,Consumer,Central,Iowa,Burlington,Office Supplies,Paper,44.75
101,CA-2017-158568,29-08-2017,2017,8,August,02-09-2017,4,RB-19465,Rick Bensley,Home Office,Central,Illinois,Chicago,Technology,Accessories,95.98
1010,CA-2018-135034,01-08-2018,2018,8,August,03-08-2018,2,AT-10735,Annie Thurman,Consumer,Central,Illinois,Chicago,Technology,Phones,95.98
1011,CA-2015-158540,24-11-2015,2015,11,November,26-11-2015,2,VG-21790,Vivek Gonzalez,Consumer,West,California,San Diego,Furniture,Furnishings,151.72
1012,CA-2018-118437,17-06-2018,2018,6,June,21-06-2018,4,PF-19165,Philip Fox,Consumer,West,Washington,Olympia,Furniture,Furnishings,155.25
1013,CA-2018-118437,17-06-2018,2018,6,June,21-06-2018,4,PF-19165,Philip Fox,Consumer,West,Washington,Olympia,Office Supplies,Storage,14.03
1014,US-2016-126214,21-12-2016,2016,12,December,24-12-2016,3,JS-15880,John Stevenson,Consumer,West,Washington,Seattle,Furniture,Tables,1618.37
1015,US-2016-126214,21-12-2016,2016,12,December,24-12-2016,3,JS-15880,John Stevenson,Consumer,West,Washington,Seattle,Technology,Accessories,99.6
1016,CA-2016-133025,17-09-2016,2016,9,September,19-09-2016,2,MO-17800,Meg O'Connel,Home Office,West,California,Los Angeles,Office Supplies,Paper,32.4
1017,CA-2016-108665,06-07-2016,2016,7,July,10-07-2016,4,KM-16225,Kalyca Meade,Corporate,East,New York,New York City,Furniture,Furnishings,13.96
1018,CA-2016-108665,06-07-2016,2016,7,July,10-07-2016,4,KM-16225,Kalyca Meade,Corporate,East,New York,New York City,Furniture,Furnishings,155.82
1019,CA-2016-108665,06-07-2016,2016,7,July,10-07-2016,4,KM-16225,Kalyca Meade,Corporate,East,New York,New York City,Technology,Phones,124.95
102,CA-2017-158568,29-08-2017,2017,8,August,02-09-2017,4,RB-19465,Rick Bensley,Home Office,Central,Illinois,Chicago,Office Supplies,Binders,1.79
1020,CA-2016-108665,06-07-2016,2016,7,July,10-07-2016,4,KM-16225,Kalyca Meade,Corporate,East,New York,New York City,Office Supplies,Storage,601.65
1021,CA-2016-124450,27-04-2016,2016,4,April,03-05-2016,6,GT-14710,Greg Tran,Consumer,East,District of Columbia,Washington,Office Supplies,Art,22.74
1022,CA-2016-124450,27-04-2016,2016,4,April,03-05-2016,6,GT-14710,Greg Tran,Consumer,East,District of Columbia,Washington,Furniture,Chairs,1267.53
1023,CA-2016-124450,27-04-2016,2016,4,April,03-05-2016,6,GT-14710,Greg Tran,Consumer,East,District of Columbia,Washington,Technology,Machines,1379.92
1024,CA-2016-167269,16-06-2016,2016,6,June,20-06-2016,4,PB-19150,Philip Brown,Consumer,East,Pennsylvania,Philadelphia,Office Supplies,Envelopes,6.21
1025,CA-2018-106964,17-12-2018,2018,12,December,20-12-2018,3,HR-14770,Hallie Redmond,Home Office,West,California,Los Angeles,Office Supplies,Binders,11.81
1026,CA-2017-126529,11-01-2017,2017,1,January,13-01-2017,2,DE-13255,Deanra Eno,Home Office,East,Ohio,Springfield,Office Supplies,Paper,15.55
1027,CA-2017-126529,11-01-2017,2017,1,January,13-01-2017,2,DE-13255,Deanra Eno,Home Office,East,Ohio,Springfield,Office Supplies,Paper,63.31
1028,CA-2017-126529,11-01-2017,2017,1,January,13-01-2017,2,DE-13255,Deanra Eno,Home Office,East,Ohio,Springfield,Technology,Phones,15.59
1029,CA-2015-163552,11-07-2015,2015,7,July,15-07-2015,4,LA-16780,Laura Armstrong,Corporate,East,New Jersey,Hackensack,Office Supplies,Paper,177.2
103,CA-2017-129903,01-12-2017,2017,12,December,04-12-2017,3,GZ-14470,Gary Zandusky,Consumer,Central,Minnesota,Rochester,Office Supplies,Paper,23.92
1030,CA-2015-163552,11-07-2015,2015,7,July,15-07-2015,4,LA-16780,Laura Armstrong,Corporate,East,New Jersey,Hackensack,Technology,Phones,197.97
1031,CA-2015-163552,11-07-2015,2015,7,July,15-07-2015,4,LA-16780,Laura Armstrong,Corporate,East,New Jersey,Hackensack,Furniture,Chairs,854.94
1032,CA-2015-163552,11-07-2015,2015,7,July,15-07-2015,4,LA-16780,Laura Armstrong,Corporate,East,New Jersey,Hackensack,Furniture,Furnishings,124.11
1033,CA-2015-163552,11-07-2015,2015,7,July,15-07-2015,4,LA-16780,Laura Armstrong,Corporate,East,New Jersey,Hackensack,Office Supplies,Labels,14.4
1034,CA-2017-109820,20-11-2017,2017,11,November,22-11-2017,2,AG-10390,Allen Goldenen,Consumer,East,Ohio,Cincinnati,Office Supplies,Paper,15.7
1035,CA-2017-109820,20-11-2017,2017,11,November,22-11-2017,2,AG-10390,Allen Goldenen,Consumer,East,Ohio,Cincinnati,Office Supplies,Binders,2.63
1036,CA-2017-109820,20-11-2017,2017,11,November,22-11-2017,2,AG-10390,Allen Goldenen,Consumer,East,Ohio,Cincinnati,Office Supplies,Binders,14.43
1037,CA-2017-113061,22-04-2017,2017,4,April,26-04-2017,4,EL-13735,Ed Ludwig,Home Office,Central,Missouri,Jefferson City,Furniture,Furnishings,86.62
1038,CA-2016-127418,13-06-2016,2016,6,June,14-06-2016,1,JJ-15445,Jennifer Jackson,Consumer,West,California,Los Angeles,Office Supplies,Binders,36.62
1039,CA-2018-121818,20-11-2018,2018,11,November,21-11-2018,1,JH-15430,Jennifer Halladay,Consumer,South,North Carolina,Burlington,Office Supplies,Art,23.97
104,US-2016-156867,13-11-2016,2016,11,November,17-11-2016,4,LC-16870,Lena Cacioppo,Consumer,West,Colorado,Aurora,Technology,Accessories,238.9
1040,CA-2018-121818,20-11-2018,2018,11,November,21-11-2018,1,JH-15430,Jennifer Halladay,Consumer,South,North Carolina,Burlington,Office Supplies,Art,28.73
1041,CA-2017-127670,20-03-2017,2017,3,March,24-03-2017,4,RD-19660,Robert Dilbeck,Home Office,Central,Missouri,Saint Peters,Furniture,Tables,697.16
1042,CA-2017-102981,06-09-2017,2017,9,September,09-09-2017,3,MO-17500,Mary O'Rourke,Consumer,East,New York,New York City,Technology,Accessories,31.86
1043,CA-2017-102981,06-09-2017,2017,9,September,09-09-2017,3,MO-17500,Mary O'Rourke,Consumer,East,New York,New York City,Furniture,Bookcases,722.35
1044,CA-2018-115651,09-07-2018,2018,7,July,12-07-2018,3,NS-18640,Noel Staavos,Corporate,Central,Illinois,Chicago,Office Supplies,Art,8.84
1045,CA-2018-115651,09-07-2018,2018,7,July,12-07-2018,3,NS-18640,Noel Staavos,Corporate,Central,Illinois,Chicago,Office Supplies,Appliances,58.46
1046,CA-2018-152702,12-10-2018,2018,10,October,16-10-2018,4,SN-20710,Steve Nguyen,Home Office,Central,Illinois,Rockford,Furniture,Chairs,254.6
1047,CA-2017-169103,08-03-2017,2017,3,March,13-03-2017,5,ZC-21910,Zuschuss Carroll,Consumer,South,Florida,Miami,Technology,Phones,1363.96
1048,CA-2017-169103,08-03-2017,2017,3,March,13-03-2017,5,ZC-21910,Zuschuss Carroll,Consumer,South,Florida,Miami,Furniture,Furnishings,102.36
1049,CA-2015-139192,27-05-2015,2015,5,May,01-06-2015,5,LC-16885,Lena Creighton,Consumer,West,California,San Francisco,Technology,Phones,1113.5
105,US-2016-156867,13-11-2016,2016,11,November,17-11-2016,4,LC-16870,Lena Cacioppo,Consumer,West,Colorado,Aurora,Furniture,Furnishings,102.36
1050,CA-2015-139192,27-05-2015,2015,5,May,01-06-2015,5,LC-16885,Lena Creighton,Consumer,West,California,San Francisco,Technology,Accessories,99.99
1051,US-2016-153500,03-07-2016,2016,7,July,05-07-2016,2,DG-13300,Deirdre Greer,Corporate,East,Pennsylvania,Philadelphia,Furniture,Furnishings,168.46
1052,US-2016-153500,03-07-2016,2016,7,July,05-07-2016,2,DG-13300,Deirdre Greer,Corporate,East,Pennsylvania,Philadelphia,Office Supplies,Paper,6.72
1053,US-2016-153500,03-07-2016,2016,7,July,05-07-2016,2,DG-13300,Deirdre Greer,Corporate,East,Pennsylvania,Philadelphia,Furniture,Furnishings,282.89
1054,CA-2016-110667,04-04-2016,2016,4,April,08-04-2016,4,NF-18595,Nicole Fjeld,Home Office,East,New York,New York City,Office Supplies,Art,11.16
1055,CA-2016-110667,04-04-2016,2016,4,April,08-04-2016,4,NF-18595,Nicole Fjeld,Home Office,East,New York,New York City,Furniture,Furnishings,108.4
1056,CA-2016-110667,04-04-2016,2016,4,April,08-04-2016,4,NF-18595,Nicole Fjeld,Home Office,East,New York,New York City,Office Supplies,Binders,82.34
1057,CA-2016-110667,04-04-2016,2016,4,April,08-04-2016,4,NF-18595,Nicole Fjeld,Home Office,East,New York,New York City,Office Supplies,Binders,9.09
1058,CA-2018-167150,10-12-2018,2018,12,December,17-12-2018,7,BP-11185,Ben Peterman,Corporate,West,California,San Diego,Office Supplies,Binders,19.94
1059,CA-2018-167150,10-12-2018,2018,12,December,17-12-2018,7,BP-11185,Ben Peterman,Corporate,West,California,San Diego,Office Supplies,Binders,65.57
106,US-2016-156867,13-11-2016,2016,11,November,17-11-2016,4,LC-16870,Lena Cacioppo,Consumer,West,Colorado,Aurora,Office Supplies,Binders,36.88
1060,CA-2017-105284,24-11-2017,2017,11,November,01-12-2017,7,MG-17650,Matthew Grinstein,Home Office,East,Pennsylvania,Philadelphia,Office Supplies,Fasteners,4.42
1061,US-2016-125374,23-03-2016,2016,3,March,29-03-2016,6,JD-16060,Julia Dunbar,Consumer,Central,Texas,Houston,Furniture,Chairs,107.77
1062,CA-2016-161263,16-04-2016,2016,4,April,21-04-2016,5,TS-21160,Theresa Swint,Corporate,East,Ohio,Toledo,Office Supplies,Appliances,45.22
1063,CA-2016-161263,16-04-2016,2016,4,April,21-04-2016,5,TS-21160,Theresa Swint,Corporate,East,Ohio,Toledo,Office Supplies,Fasteners,10.42
1064,CA-2016-161263,16-04-2016,2016,4,April,21-04-2016,5,TS-21160,Theresa Swint,Corporate,East,Ohio,Toledo,Office Supplies,Art,7.87
1065,CA-2016-161263,16-04-2016,2016,4,April,21-04-2016,5,TS-21160,Theresa Swint,Corporate,East,Ohio,Toledo,Technology,Phones,118.78
1066,CA-2016-161263,16-04-2016,2016,4,April,21-04-2016,5,TS-21160,Theresa Swint,Corporate,East,Ohio,Toledo,Office Supplies,Fasteners,1.45
1067,CA-2016-161263,16-04-2016,2016,4,April,21-04-2016,5,TS-21160,Theresa Swint,Corporate,East,Ohio,Toledo,Office Supplies,Binders,55.47
1068,CA-2017-157686,01-10-2017,2017,10,October,02-10-2017,1,BD-11620,Brian DeCherney,Consumer,West,California,San Francisco,Furniture,Chairs,194.85
1069,US-2018-139955,28-09-2018,2018,9,September,30-09-2018,2,CM-12160,Charles McCrossin,Consumer,Central,Texas,Brownsville,Office Supplies,Supplies,1.74
107,CA-2018-119004,23-11-2018,2018,11,November,28-11-2018,5,JM-15250,Janet Martin,Consumer,South,North Carolina,Charlotte,Technology,Accessories,74.11
